,Model Type,MSE Score,MSE Raw Score,RMSE Score,Data Correlation,CV round,File
1818,XGBoost,195135704973.7897,195147746982.35086,441741.672217813,-0.09125174820601768,4,transformed_data__impute__scale__pct_change__log_all.csv
1819,LightGBM,83830.21597804704,362.06197463596817,289.53448150098984,-0.09125174820601768,4,transformed_data__impute__scale__pct_change__log_all.csv
1820,XGBoost,20987949.5260871,20966989.461683113,4581.260691784206,-0.6139376261455263,5,transformed_data__impute__scale__pct_change__log_all.csv
1821,LightGBM,82317.364389279,146471.29933312716,286.91002838743543,-0.6139376261455263,5,transformed_data__impute__scale__pct_change__log_all.csv
1822,XGBoost,6139858.994675575,39405493.78437808,2477.873885950529,-0.9998255172491082,1,transformed_data__impute__scale__pct_change__log_all.csv
1823,LightGBM,2639131.4298496754,6855813.298322583,1624.540374952151,-0.9998255172491082,1,transformed_data__impute__scale__pct_change__log_all.csv
1824,XGBoost,23093924.45233355,46689025.935598195,4805.6138476092265,-0.9998682047869616,2,transformed_data__impute__scale__pct_change__log_all.csv
1825,LightGBM,5443502.825097316,2848011.3690365334,2333.131549033898,-0.9998682047869616,2,transformed_data__impute__scale__pct_change__log_all.csv
1826,XGBoost,1821410410.5411563,1821556498.225086,42677.985080614526,-0.214064128123343,3,transformed_data__impute__scale__pct_change__log_all.csv
1827,LightGBM,184569974.1677518,184995220.43379843,13585.65324773718,-0.214064128123343,3,transformed_data__impute__scale__pct_change__log_all.csv
1828,XGBoost,239044898.448712,698718755.4414649,15461.07688515622,0.9997754093356025,4,transformed_data__impute__scale__pct_change__log_all.csv
1829,LightGBM,118431541.5004146,174485859.02755007,10882.6256712438,0.9997754093356025,4,transformed_data__impute__scale__pct_change__log_all.csv
1830,XGBoost,8111592.818239107,255401394.7710039,2848.0858165159116,0.9999306463504857,5,transformed_data__impute__scale__pct_change__log_all.csv
1831,LightGBM,3393001.489487285,234883564.81018156,1842.0101762713703,0.9999306463504857,5,transformed_data__impute__scale__pct_change__log_all.csv
1832,XGBoost,4545213822438970.0,4545479595219746.0,67418200.97302337,0.7588513871092495,1,transformed_data__impute__scale__pct_change__log_all.csv
1833,LightGBM,36738527202.690155,90441963304.26465,191672.96941063483,0.7588513871092495,1,transformed_data__impute__scale__pct_change__log_all.csv
1834,XGBoost,3.317391147028353e+17,3.319446050553701e+17,575967980.6229122,-0.9614135191702841,2,transformed_data__impute__scale__pct_change__log_all.csv
1835,LightGBM,371216094762.0742,136263627686.80406,609275.0567371638,-0.9614135191702841,2,transformed_data__impute__scale__pct_change__log_all.csv
1836,XGBoost,2.6794142490720714e+17,2.680108136949951e+17,517630587.2987097,-0.8965777289874306,3,transformed_data__impute__scale__pct_change__log_all.csv
1837,LightGBM,164460423014361.06,175472284676958.75,12824212.374035338,-0.8965777289874306,3,transformed_data__impute__scale__pct_change__log_all.csv
1838,XGBoost,2.5573143208090282e+17,2.5573147376965968e+17,505698954.0041613,-0.20612467978199236,4,transformed_data__impute__scale__pct_change__log_all.csv
1839,LightGBM,87609266225036.8,87728713156334.69,9359982.170123873,-0.20612467978199236,4,transformed_data__impute__scale__pct_change__log_all.csv
1840,XGBoost,2.9554769522876796e+22,2.955482578185558e+22,171915006683.177,0.2858755200376965,5,transformed_data__impute__scale__pct_change__log_all.csv
1841,LightGBM,1.729343380226914e+21,1.7293607926176652e+21,41585374595.24579,0.2858755200376965,5,transformed_data__impute__scale__pct_change__log_all.csv
1842,XGBoost,1.4942546596735113e+230,1.4942546596735113e+230,1.2223970957399692e+115,-0.04066716656612074,1,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1843,LightGBM,4.964089174096252e+260,4.964089174096252e+260,2.228023602679346e+130,-0.04066716656612074,1,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1844,XGBoost,1765800176165074.2,129243283594142.95,42021425.20387754,0.38063343619525836,2,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1845,LightGBM,1759062760.9773562,2832516487767424.5,41941.18215998872,0.38063343619525836,2,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1846,XGBoost,0.0,4667449719833.008,0.0,0.7584109963317964,3,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1847,LightGBM,0.0,4667449719833.008,0.0,0.7584109963317964,3,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1848,XGBoost,1.3749110716177834e+31,1.374911073473411e+31,3707979330602833.0,-0.9453574371644978,4,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1849,LightGBM,4.994831539927804e+29,4.9948315752960926e+29,706741221376523.6,-0.9453574371644978,4,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1850,XGBoost,inf,inf,inf,0.9999766925574712,5,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1851,LightGBM,inf,inf,inf,0.9999766925574712,5,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1852,XGBoost,1438.9868747675014,17089597777079.941,37.9339804761839,-0.16557960364204524,1,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1853,LightGBM,253660.09175581372,17089692772477.883,503.64679265911514,-0.16557960364204524,1,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1854,XGBoost,4.507900716666978e+39,32876745029001.5,6.7140901964949635e+19,0.15951684951526413,2,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1855,LightGBM,8.05341235097078e+205,8.05341235097078e+205,8.974080649833039e+102,0.15951684951526413,2,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1856,XGBoost,1.936462782725006e+275,1.936462782725006e+275,4.400525858036748e+137,0.9897062364725762,3,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1857,LightGBM,1.7304479520683746e+152,1.7304479520683746e+152,1.3154649186004067e+76,0.9897062364725762,3,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1858,XGBoost,1.6820791785800296e+193,1.6820791785800296e+193,4.101315860281953e+96,0.9998716260545647,4,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1859,LightGBM,6.363954182995371e+186,6.363954182995371e+186,2.5226878885417773e+93,0.9998716260545647,4,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1860,XGBoost,inf,inf,inf,-0.9999913287304559,5,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1861,LightGBM,9.636765372678884e+254,9.636765372678884e+254,3.104313993892835e+127,-0.9999913287304559,5,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1862,XGBoost,4455.93881964169,30406374167.408077,66.75281881420207,-0.1613917057524823,1,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1863,LightGBM,1523.0114744428927,30406100401.602345,39.025779613518196,-0.1613917057524823,1,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1864,XGBoost,1.7969915105380488e+27,1.7915155176124666e+27,42390936655587.695,0.031084371594663766,2,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1865,LightGBM,3.226908179612329e+29,3.227642586311883e+29,568058815582711.4,0.031084371594663766,2,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
1866,XGBoost,3.7541555117679717e+77,3072437288.9294615,6.1271163786629445e+38,-0.14954884695563359,3,transformed_data__impute__scale__pct_change__robust__soft_clipping.csv
